family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,record_mse_norm_mean,record_rmse_norm_mean,record_mae_norm_mean,record_ci_mean,record_mse_raw_mean,record_rmse_raw_mean,record_mae_raw_mean,record_mse_norm_sd,record_rmse_norm_sd,record_mae_norm_sd,record_ci_sd,record_mse_raw_sd,record_rmse_raw_sd,record_mae_raw_sd
baseline,KIBA,warm,,deepdta_style,,3,0.0006496460109544076,0.02548675085442843,0.015409945274268618,0.8593405961659784,0.192195287291176,0.4383766895169738,0.26505382477177714,1.6705363149581007e-05,0.00032758626047059766,0.00021542164811477036,0.003076559832141499,0.004942217785837314,0.005634542481172843,0.003705291015329136
baseline,KIBA,warm,,graphdta_gcn_style,,3,0.000584021733532961,0.024166444244667604,0.014681540396977825,0.8664456707642305,0.17278059584442765,0.4156671788366919,0.2525251301351568,4.057455530544316e-06,8.401876873328633e-05,0.00018906976092026692,0.0013159019905220881,0.0012003826979842267,0.0014451379034135458,0.0032520338254725975
primary,DAVIS,cold_drug,attention,,,3,0.01909847439021611,0.13786858738284422,0.07886448446539492,0.6803308151738617,0.6415602528116551,0.7990697909978509,0.4570890898005828,0.0031508518143817227,0.011665783510451982,0.00749567094283478,0.03555751020442948,0.10584412374018555,0.06761348156587405,0.04344400945407066
primary,DAVIS,cold_drug,concat,,,3,0.015699174688869746,0.12526968343701397,0.0762595502381546,0.7005041958106833,0.52737021170054,0.7260480553443142,0.44199120355950655,0.0007974723054052738,0.0031656990839434543,0.005723484394160414,0.013354208264813617,0.026788869278909683,0.01834801206996018,0.03317262884489617
primary,DAVIS,cold_drug,product,,,3,0.018256921687690653,0.1349890919965239,0.09675854504391244,0.7210580380912776,0.6132906249055043,0.782380581220595,0.5608009179842821,0.0019711895654634143,0.007231880423996883,0.018037784109190217,0.010654371700942447,0.06621664380722798,0.0419151112564727,0.10454483252352903
primary,DAVIS,cold_target,attention,,,3,0.013538610717299468,0.11635308237365836,0.06915585697646867,0.7885149897451531,0.45479206019507323,0.6743685053949006,0.4008190497158924,0.00021575038739731533,0.0009254237797949723,0.003120963827000998,0.005609089165825662,0.007247535601783134,0.00536364519534662,0.01808873188805784
primary,DAVIS,cold_target,concat,,,3,0.013589109825376934,0.11657179292130897,0.06569696570060696,0.7918508685247979,0.45648843760632546,0.6756361254881922,0.3807717308787732,0.00010161719186723044,0.0004363264060229056,0.0032260625369810113,0.006493773613750386,0.0034135475940292115,0.002528895498866517,0.01869787140135875
primary,DAVIS,cold_target,product,,,3,0.013246352611717986,0.1150903874038081,0.06181260481273129,0.7983921468631054,0.4449744600940326,0.6670500768477913,0.35825844121826517,0.00021046745759782917,0.0009126929598902188,0.0009176404173750479,0.0012465871821217519,0.00707007023421002,0.005289858890622394,0.005318533760608463
primary,DAVIS,warm,attention,,,3,0.0078664838199242,0.08868575272763433,0.051033119369929436,0.8480487226658898,0.2642526960600991,0.5140119822927564,0.295781836914449,0.00024880198382736906,0.0014077018809576854,0.0009083314067203211,0.013132494975823342,0.008357812272487072,0.008158871205959015,0.005264579851748816
primary,DAVIS,warm,concat,,,3,0.0071087542658739185,0.08430446180585595,0.04687536436936823,0.8590440398802229,0.23879887423502189,0.4886185457774137,0.2716839877786413,0.00025433567038977967,0.0015059808260195658,0.0006421685152390666,0.002928377340876727,0.008543701117712294,0.008728484180029927,0.0037219316669471697
primary,DAVIS,warm,product,,,3,0.00613936361132604,0.07834783355769874,0.0412979881466933,0.8662806481308953,0.2062348850546298,0.45409464312735165,0.23935818436561654,0.00018938234247522804,0.0012127993287284649,0.0009350539993184957,0.001264374153917164,0.006361774298512255,0.007029239397646746,0.005419460792271165
primary,KIBA,cold_drug,attention,,,3,0.0011412504620172863,0.03378130074592733,0.022136544317512188,0.7676272869218871,0.3375062377311326,0.5809339890498021,0.38068016062704374,2.2598683202828312e-05,0.00033357592200902747,0.00027132046146099894,0.004517041665882145,0.006683192514973811,0.005736475113292746,0.004665873560430412
primary,KIBA,cold_drug,concat,,,3,0.0011036164836997946,0.033220064432514844,0.021134363545873072,0.7759147126477276,0.3263766015508851,0.5712824586720197,0.3634457480804069,1.706644049280166e-05,0.00025632830322795,0.00047073640928893394,0.0033757573744348877,0.005047121831614675,0.004408054764396028,0.008095211670384569
primary,KIBA,cold_drug,product,,,3,0.001100458985478278,0.033172363935794695,0.021391125905648466,0.7753683160019763,0.3254428228749027,0.570462157522348,0.36786126727618984,1.8754302357855238e-05,0.00028263861059351183,0.00021024876713576947,0.0008911896274217799,0.0055462794896778906,0.004860510752576078,0.0036156291287780056
primary,KIBA,cold_target,attention,,,3,0.0014272621853780125,0.0377671450432612,0.02714077017275719,0.6791723890259895,0.4222500579285637,0.6496016738710937,0.4668261186853882,8.722037047447271e-05,0.0011650798208385983,0.0013867073286346241,0.02040876851594301,0.025803812966321043,0.0200395820479216,0.023851614963707645
primary,KIBA,cold_target,concat,,,3,0.0014929286506714264,0.03863373165773993,0.027380407950097982,0.6663846339111908,0.44167723049585494,0.664507119190692,0.4709479314701515,5.6894599420098946e-05,0.0007383382041818584,0.0005613204722743327,0.016652408523047505,0.01683204960313331,0.01269954964215894,0.00965481287902065
primary,KIBA,cold_target,product,,,3,0.0015330684280292727,0.03913547505854489,0.028035532770639204,0.6689810036286629,0.4535524300830291,0.6731371957464742,0.4822161959770556,0.00011785788818056267,0.0014914858218987893,0.0014437810898144565,0.0020988447458681167,0.03486780538391434,0.025653823855381334,0.024833293900626704
