family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,unique_mse_norm_mean,unique_rmse_norm_mean,unique_mae_norm_mean,unique_ci_mean,unique_mse_raw_mean,unique_rmse_raw_mean,unique_mae_raw_mean,unique_mse_norm_sd,unique_rmse_norm_sd,unique_mae_norm_sd,unique_ci_sd,unique_mse_raw_sd,unique_rmse_raw_sd,unique_mae_raw_sd
baseline,KIBA,warm,,deepdta_style,,3,0.0006474830521996412,0.025444301007921288,0.015364146431231176,0.8591366008664653,0.19155538421740737,0.4376465445373885,0.26426607645073236,1.656531203040248e-05,0.0003254191557136419,0.00021484140173839595,0.0030400136426784866,0.0049007841979570215,0.005597267890362263,0.0036953106735023293
baseline,KIBA,warm,,graphdta_gcn_style,,3,0.0005814819470612104,0.024113832914521627,0.014632728871429848,0.86629806914046,0.17202920973204436,0.41476225451455256,0.25168556313416035,4.176889742370796e-06,8.668245275516574e-05,0.00019165291570489906,0.0013022515407077467,0.0012357168526889665,0.0014909537467157781,0.003296464551439315
primary,DAVIS,cold_drug,attention,,,3,0.016318112225213215,0.1274958371195889,0.07155070594875539,0.6681747457359961,0.5481617008099823,0.7389505749945996,0.4146993070252865,0.002433775903167551,0.009715225863700497,0.00716425237222352,0.04666818479972037,0.08175594824071282,0.05630828347320891,0.04152314718240782
primary,DAVIS,cold_drug,concat,,,3,0.013951662666173347,0.11809441793923335,0.0703979153572007,0.6945749729622595,0.4686673942835189,0.6844610774075321,0.40801787106845083,0.0006725795711855188,0.0028384285530097947,0.005197490041055538,0.01899717745291172,0.022593444424376982,0.01645119133858692,0.03012402868310274
primary,DAVIS,cold_drug,product,,,3,0.016401960294781734,0.12786621105224008,0.09072234672832974,0.718016524884345,0.550978344046036,0.7410972178707814,0.5258158367702387,0.0022856009100966227,0.008848081650199695,0.018739719711294442,0.012298757945840634,0.07677842050354189,0.05128241965172108,0.1086131670550917
primary,DAVIS,cold_target,attention,,,3,0.01345016249510645,0.11597146808714603,0.06896583630202445,0.7870467555342776,0.45182088759607425,0.6721567147763574,0.3997177126854942,0.000251430767490577,0.001082417307592607,0.003145172738136624,0.0056970579961405496,0.008446118965319915,0.006273560846378167,0.018229043832414797
primary,DAVIS,cold_target,concat,,,3,0.013520229403600488,0.1162759106518206,0.065584571967331,0.7902569453875933,0.45417459096571067,0.6739212273541922,0.38012031028570586,0.0001072063760673077,0.0004615284774351492,0.003289998190459878,0.0073074096208167,0.0036013007283972795,0.002674963681027341,0.01906843477792262
primary,DAVIS,cold_target,product,,,3,0.013171270900557709,0.1147639669427417,0.061706994551116216,0.7965476035619191,0.44245229834386685,0.6651581830193772,0.3576463368130633,0.0001995414906002066,0.0008684400868782482,0.0009483682466770965,0.0012244045072864385,0.006703042690230001,0.005033374548104675,0.005496628572518178
primary,DAVIS,warm,attention,,,3,0.007706809842443051,0.08777390879543116,0.05042175834344842,0.8560643582377777,0.25888889184897707,0.5087270442647417,0.29223846175606105,0.00034210172702969956,0.00195605874696491,0.0006726548732300112,0.0046576084405346024,0.011491958257823702,0.011337081809480226,0.00389862694010942
primary,DAVIS,warm,concat,,,3,0.006910538125422745,0.08312811139936506,0.045964698960295015,0.8661661700462083,0.2321403530054753,0.4818005599599142,0.26640588032928875,0.00010287920539496373,0.0006187332997719599,0.000767585305971131,0.003188281418191231,0.003455941436666175,0.0035861039698570248,0.004448832338523679
primary,DAVIS,warm,product,,,3,0.005894402938755175,0.07675870862171796,0.040155501984801535,0.87710474066937,0.19800611097495846,0.44488426566161693,0.23273647164678157,0.00029609265496446393,0.0019378813746107812,0.00124609431601024,0.004625363595974542,0.009946411147478363,0.011231727940236769,0.007222213149199334
primary,KIBA,cold_drug,attention,,,3,0.0011412503541642107,0.03378129914874598,0.022136541734294506,0.7676236194796283,0.3375062058353418,0.5809339615832182,0.38068011620368153,2.2598690792909148e-05,0.00033357604937557517,0.00027132076875785113,0.004518889325286223,0.006683194759616601,0.005736477303603803,0.004665878844986776
primary,KIBA,cold_drug,concat,,,3,0.0011036163910087082,0.0332200630381857,0.021134360914302357,0.7759129678805178,0.32637657413900584,0.5712824346938667,0.363445702825522,1.7066429666104456e-05,0.0002563281520148316,0.00047073621502250287,0.003377068807763988,0.005047118629795262,0.004408052163997587,0.008095208329602234
primary,KIBA,cold_drug,product,,,3,0.0011004588766793807,0.03317236229683054,0.02139112315515843,0.7753678638483482,0.32544279069940063,0.5704621293372288,0.36786121997626015,1.8754290405948767e-05,0.0002826384453581016,0.00021024830067534395,0.0008915369572440633,0.005546275955096149,0.004860507911037516,0.003615621107100125
primary,KIBA,cold_target,attention,,,3,0.0014257424974088526,0.0377469464455866,0.027127017139027303,0.6792510740879824,0.4218004640560536,0.6492542543654826,0.466589564036592,8.743986383451603e-05,0.0011686732495888204,0.0013880590298000523,0.02044126815882875,0.025868749237275813,0.020101389667438716,0.023874864466380593
primary,KIBA,cold_target,concat,,,3,0.0014909005880948151,0.038607434304653854,0.0273644353752746,0.6664560200985515,0.4410772359403836,0.664054799997289,0.470673200316144,5.7099190945315464e-05,0.0007415569836351331,0.0005593801232036789,0.0166655180452556,0.016892577223257658,0.01275491322651978,0.009621438526716689
primary,KIBA,cold_target,product,,,3,0.0015312296826423732,0.039112023826683016,0.02801997106048849,0.6690583164265202,0.4530084442939509,0.6727338303490007,0.4819485317691674,0.00011763870723385744,0.001489601367826196,0.0014437527807888767,0.0020883232456741577,0.03480296153925057,0.02562141090707693,0.02483280698030536
primary,KIBA,warm,attention,,,3,0.0007130753831461829,0.026703448954592868,0.016527922901441252,0.8443848307985861,0.21096062442175803,0.4593041152346779,0.28428324063389443,2.262133362727107e-06,4.237467939660939e-05,0.00019499804254534658,0.00036397075335353025,0.0006692435021675321,0.0007288520917918567,0.0033540013335386
