family,stem,dataset,setting,seed,record_n,record_mse_norm,record_rmse_norm,record_mae_norm,record_ci,record_mse_raw,record_rmse_raw,record_mae_raw,unique_n,unique_mse_norm,unique_rmse_norm,unique_mae_norm,unique_ci,unique_mse_raw,unique_rmse_raw,unique_mae_raw,plan__fusion,plan__baseline,plan__variant
primary,davis_warm_concat_seed123,DAVIS,warm,123,3005,0.007076144521300885,0.08411982240412116,0.04743637039586468,0.8597528437447239,0.23770344035140673,0.48754839795799426,0.2749355113987116,2559,0.006908364327419221,0.08311657071498571,0.046850962310400465,0.8651120180100029,0.23206733029338808,0.48173367153790286,0.27154255637262315,concat,,
primary,davis_warm_concat_seed2026,DAVIS,warm,2026,3005,0.006872296232156053,0.0828993138219856,0.04617493924353203,0.8615529562435539,0.23085572271454782,0.48047447665255627,0.26762440778630125,2559,0.00680876304478976,0.08251522916886167,0.045531062422824384,0.8697480310019141,0.2287215015764693,0.47824836808552657,0.2638925749858207,concat,,
primary,davis_warm_product_seed42,DAVIS,warm,42,3005,0.005926464168600955,0.07698353180129472,0.04097336578622968,0.8666020629451074,0.19908311902832673,0.44618731383615867,0.23747671211256027,2559,0.005567082116138346,0.07461288170375371,0.03949190144622309,0.8803576405616375,0.18701067618692374,0.4324473103014097,0.22889032254397357,product,,
primary,davis_warm_product_seed123,DAVIS,warm,123,3005,0.006289068876921846,0.07930364983354704,0.04235209034726383,0.8648865870076974,0.21126381805108338,0.45963443958333167,0.24546763424894133,2559,0.006143600883550279,0.07838112581195986,0.041592958976718455,0.8718097801108582,0.20637722445744655,0.4542876010386444,0.24106779990584218,product,,
primary,davis_warm_product_seed2026,DAVIS,warm,2026,3005,0.006202557788455318,0.07875631903825443,0.04056850830658638,0.867353294439881,0.20835771808447925,0.45646217596256455,0.23513020673534804,2559,0.005972525816576901,0.07728211834944032,0.039381645531463054,0.8791468013356147,0.20063043228050503,0.44791788564479657,0.22825129249052897,product,,
primary,davis_warm_attention_seed42,DAVIS,warm,42,3005,0.007586861521979055,0.08710259193605581,0.05208195437221616,0.8573329379253152,0.2548595608548408,0.5048361722923991,0.3018607587484793,2559,0.007332080133337915,0.08562756643358443,0.05116722342361289,0.8597352273615211,0.2463008870692503,0.4962871014536347,0.29655908791979396,attention,,
primary,davis_warm_attention_seed123,DAVIS,warm,123,3005,0.007949190196545056,0.08915823123270816,0.050513681619600105,0.8537900120984356,0.2670309872895386,0.5167504110201933,0.2927712380356815,2559,0.00778593041090075,0.08823791934820738,0.04986014504952498,0.857632870839509,0.26154672780305344,0.5114163937566466,0.28898341848684383,attention,,
primary,davis_warm_attention_seed2026,DAVIS,warm,2026,3005,0.00806339974124849,0.089796435014139,0.05050372211797203,0.8330232179739189,0.270867540035918,0.5204493635656767,0.29271351395918616,2559,0.00800241898309049,0.08945624060450165,0.0502379065572074,0.8508249765123032,0.26881906067462746,0.5184776375839439,0.29117287886154536,attention,,
primary,davis_cold_drug_concat_seed42,DAVIS,cold_drug,42,2652,0.016594307313156392,0.12881889346348382,0.07815939819912228,0.6918167912103265,0.5574397084050254,0.7466188508235145,0.4530024943975169,2274,0.014679498636796568,0.12115898083425994,0.07218376209396662,0.6816694263629284,0.49311702412189284,0.7022229162608501,0.4183684244888546,concat,,
primary,davis_cold_drug_concat_seed123,DAVIS,cold_drug,123,2652,0.015064484710153545,0.122737462537538,0.08079152436910104,0.7158811038717589,0.5060495629993647,0.711371606826815,0.4682579818762159,2274,0.013353107984080709,0.11555564886270471,0.07446704461867351,0.7163893184928781,0.44856061060441654,0.669746676441486,0.43160205605381835,concat,,
primary,davis_cold_drug_concat_seed2026,DAVIS,cold_drug,2026,2652,0.015438732043299293,0.12425269431002006,0.06982772814624046,0.6938146923499651,0.5186213636972297,0.7201537083826131,0.4047131344047868,2274,0.01382238137764276,0.11756862412073538,0.064542939358962,0.6856661740309721,0.4643245481242473,0.6814136395202604,0.37408313266267956,concat,,
primary,davis_cold_drug_product_seed42,DAVIS,cold_drug,42,2652,0.02043777024748521,0.1429607297389224,0.11468385677323936,0.7313854388424507,0.6865501808668167,0.8285832371384403,0.6646938740885597,2274,0.018896535125953004,0.1374646686459943,0.10944757369439986,0.7298122106025398,0.6347766635685475,0.7967287264612388,0.6343450056128498,product,,
primary,davis_cold_drug_product_seed123,DAVIS,cold_drug,123,2652,0.016602127872450308,0.12884924474924295,0.09698142428203946,0.7216843490831538,0.5577024183940653,0.7467947632342271,0.5620926993074152,2274,0.014408486689964733,0.12003535599965842,0.09075129867176901,0.7189674626348571,0.48401312977033767,0.6957105215320074,0.5259836387607586,product,,
primary,davis_cold_drug_product_seed2026,DAVIS,cold_drug,2026,2652,0.01773086694313645,0.1331573015014064,0.0786103540764585,0.7101043263482285,0.5956192754556309,0.7717637432891175,0.4556161805568714,2274,0.01590085906842747,0.12609860851106752,0.07196816781882036,0.7052699014156384,0.5341452387992227,0.7308524056190981,0.4171188659371079,product,,
